splits,gamesPlayed,runs,hits,atBats,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,leftOnBase,catchersInterference,pickoffs,atBatsPerHomeRun,full_name,position,position_type,team,game_location,opp,order,DKPts,note,team_hits,team_singles,team_rbi,team_runs,team_doubles,team_triples,team_homeRuns,team_strikeOuts,team_baseOnBalls,team_hitByPitch,team_stolenBases,season,game_date,team_DKPts,singles,bats,doubles,triples,homeRuns,rbi,baseOnBalls,hitByPitch,strikeOuts,intentionalWalks,flyOuts,groundOuts,sacFlies,sacBunts,launchSpeed,launchAngle,distance,DKPts_splits,wOBA,AVG,OBP,SLG,OPS,ISO,SB_perAtBat,DKPts_share,hits_share,runs_share,singles_share,doubles_share,triples_share,homeRuns_share,rbi_share,stolenBases_share,baseOnBalls_share,exWOBA,RotoName,opp_pitcher_id,Roster Position,Salary,opp_pitcher_hand
vs_RHP,1,0,1,4,0,0,.---,0,0,4,1,2,0,0,-.--,amed rosario,SS,Infielder,NYM,away,COL,7,3,0,8,4,4,4,3,0,1,9,3,0,0,2017,2017-08-01,59,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,91.9,7.666666666666667,122.0,3.0,0.21925,0.25,0.25,0.25,0.5,0.0,0.0,0.0508474576271186,0.125,0.0,0.25,0.0,,0.0,0.0,,0.0,0.1367003470770846,amedrosar,656546,SS,3900.0,R
vs_RHP,1,1,1,4,0,0,.---,0,0,4,3,0,0,0,-.--,amed rosario,SS,Infielder,NYM,away,COL,7,12,0,13,7,9,10,3,1,2,8,1,0,0,2017,2017-08-02,104,0.0,R,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,72.75,-17.5,33.0,12.0,0.388,0.25,0.25,0.75,1.0,0.5,0.0,0.1153846153846153,0.0769230769230769,0.1,0.0,0.0,1.0,0.0,0.1111111111111111,,0.0,0.1141497360311983,amedrosar,543022,SS,3900.0,R
vs_RHP,1,1,1,4,0,0,.---,0,0,4,3,2,0,0,-.--,amed rosario,SS,Infielder,NYM,away,COL,7,10,0,9,6,4,4,1,1,1,9,4,1,0,2017,2017-08-03,62,0.0,R,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,86.03333333333335,8.333333333333334,221.0,10.0,0.388,0.25,0.25,0.75,1.0,0.5,0.0,0.1612903225806451,0.1111111111111111,0.25,0.0,0.0,1.0,0.0,0.0,,0.0,0.1753147610717766,amedrosar,608566,SS,3800.0,R
vs_RHP,1,0,1,3,0,1,1.000,0,0,3,1,0,0,0,-.--,amed rosario,SS,Infielder,NYM,home,LAD,7,8,0,4,4,0,0,0,0,0,11,2,0,2,2017,2017-08-04,18,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,104.1,-8.0,17.0,8.0,0.2923333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.4444444444444444,0.25,,0.25,,,,,0.5,0.0,0.1111432071905524,amedrosar,506433,SS,2700.0,R
vs_LHP,1,0,0,4,0,0,.---,0,0,4,0,2,0,0,-.--,amed rosario,,Infielder,NYM,home,LAD,7,0,0,7,3,4,4,0,0,4,13,3,0,1,2017,2017-08-05,76,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,87.6,-13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.075800505541261,amedrosar,448179,SS,2800.0,L
vs_LHP,1,0,0,3,0,0,.---,0,0,3,0,1,0,0,-.--,amed rosario,SS,Infielder,NYM,home,LAD,8,0,0,1,1,0,0,0,0,0,13,1,0,0,2017,2017-08-06,5,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0,21.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.1050459133764322,amedrosar,547943,SS,2800.0,L
vs_RHP,1,0,0,3,0,0,.---,0,0,3,0,1,0,0,-.--,amed rosario,SS,Infielder,NYM,home,TEX,8,0,0,6,1,5,5,2,0,3,8,4,0,0,2017,2017-08-08,66,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,68.83333333333333,17.333333333333332,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.1883315745972628,amedrosar,456167,SS,3300.0,R
vs_LHP,1,0,1,3,0,0,.---,0,0,3,1,0,0,0,-.--,amed rosario,,Infielder,NYM,home,TEX,8,3,0,3,2,1,1,0,0,1,7,0,1,0,2017,2017-08-09,22,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,93.35,19.0,277.5,3.0,0.2923333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1363636363636363,0.3333333333333333,0.0,0.5,,,0.0,0.0,,,0.3254430714763024,amedrosar,527048,SS,2900.0,L
vs_RHP,1,0,0,3,1,0,.000,0,0,4,0,1,0,0,-.--,amed rosario,SS,Infielder,NYM,away,PHI,8,2,0,13,6,10,10,3,0,4,11,3,1,0,2017,2017-08-10,121,0.0,R,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,85.0,17.0,230.66666666666663,2.0,0.18075,0.0,0.25,0.0,0.25,0.0,0.0,0.0165289256198347,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.3455606118779727,amedrosar,592826,SS,3000.0,R
vs_RHP,1,3,3,4,0,0,.---,0,0,4,6,0,0,0,4.00,amed rosario,SS,Infielder,NYM,away,PHI,8,24,0,13,9,7,7,1,0,3,8,2,0,0,2017,2017-08-11,94,2.0,R,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.5,23.25,304.5,24.0,0.9335,0.75,0.75,1.5,2.25,0.75,0.0,0.2553191489361702,0.2307692307692307,0.4285714285714285,0.2222222222222222,0.0,,0.3333333333333333,0.1428571428571428,,0.0,0.736874474920293,amedrosar,601713,SS,3000.0,R
vs_RHP,1,0,1,3,1,0,.000,0,0,3,2,0,0,0,-.--,amed rosario,,Infielder,NYM,away,PHI,8,5,0,3,1,1,1,1,0,1,11,4,0,0,2017,2017-08-12,30,0.0,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,88.8,3.333333333333333,143.33333333333334,5.0,0.4106666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0,0.0,1.0,,0.0,0.0,,0.0,0.2300214683894996,amedrosar,605400,SS,2700.0,R
vs_LHP,1,0,1,1,0,0,.---,0,0,1,1,0,0,0,-.--,amed rosario,SS,Infielder,NYM,away,PHI,9,3,b-,12,8,6,6,2,0,2,10,0,0,1,2017,2017-08-13,83,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,13.0,210.0,3.0,0.877,1.0,1.0,1.0,2.0,0.0,0.0,0.036144578313253,0.0833333333333333,0.0,0.125,0.0,,0.0,0.0,0.0,,0.8869140609812367,amedrosar,621107,SS,3200.0,R
vs_RHP,1,0,1,4,0,1,1.000,0,0,4,1,1,0,0,-.--,amed rosario,SS,Infielder,NYM,away,NYY,7,8,,6,4,2,2,0,0,2,13,3,0,1,2017,2017-08-14,51,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,76.2,16.0,224.0,8.0,0.21925,0.25,0.25,0.25,0.5,0.0,0.25,0.1568627450980392,0.1666666666666666,0.0,0.25,,,0.0,0.0,1.0,0.0,0.2030139416331531,amedrosar,570666,SS,3300.0,R
vs_LHP,1,1,1,4,0,0,.---,0,0,4,4,0,0,0,4.00,amed rosario,SS,Infielder,NYM,away,NYY,7,16,0,7,5,4,4,0,0,2,9,3,0,0,2017,2017-08-15,57,0.0,R,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,30.0,368.0,16.0,0.495,0.25,0.25,1.0,1.25,0.75,0.0,0.2807017543859649,0.1428571428571428,0.25,0.0,,,0.5,0.5,,0.0,0.3967969776785956,amedrosar,543243,SS,3000.0,R
vs_LHP,1,0,0,3,0,0,.---,0,0,4,0,1,0,0,-.--,amed rosario,SS,Infielder,NYM,home,NYY,6,2,0,6,3,3,3,2,0,1,8,3,0,0,2017,2017-08-16,42,0.0,R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.2,6.0,132.0,2.0,0.17325,0.0,0.25,0.0,0.25,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,,0.0,0.0,,0.3333333333333333,0.6118809557881136,amedrosar,448802,SS,3100.0,L
vs_LHP,1,0,0,4,0,0,.---,0,0,4,0,0,0,0,-.--,amed rosario,,Infielder,NYM,home,NYY,6,0,0,7,4,5,5,2,0,1,12,5,0,0,2017,2017-08-17,62,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.7,-13.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,amedrosar,622663,SS,3000.0,R
