Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Aaron Judge","NYY",149,645,545,155,86,25,1,43,104,106,89,9,165,6,4,1,11,9,3,0.284019,0.137615,0.256093,0.537365,0.387218,0.568385,0.404495,0.955603,0.284366,3.63735,0.32799,0.167547,-0.07948,122.313,48.554,166.072,0.0880674,2.68825,48.82648220658302,-3.744432210922241,6.95137,3.4800000190734863,2.86816,-0.799067,1.14016,"15640"
"Juan Soto","SDP",151,664,521,146,86,27,2,30,105,89,135,8,96,4,3,1,11,9,4,0.279209,0.202472,0.145129,1.39512,0.428199,0.513438,0.406414,0.941637,0.234229,3.85907,0.289372,-0.384247,-0.54211,126.978,51.017,167.406,-0.926357,-0.552545,50.28054082393646,-8.72300386428833,6.64754,11.130000114440918,2.91402,0.212771,0.812801,"20123"
"Mike Trout","LAA",139,601,509,136,67,27,3,40,97,95,79,7,160,9,3,1,4,3,1,0.267879,0.13176,0.265909,0.495509,0.37388,0.567459,0.398058,0.941339,0.29958,4.0374,0.308466,0.272107,-0.329872,110.923,42.1787,162.132,-0.0577658,-4.42442,41.97587983682752,-2.824425458908081,6.12123,21.100000381469727,2.24992,-0.381203,1.39781,"10155"
"Yordan Alvarez","HOU",144,611,526,151,80,31,2,38,95,105,74,6,128,7,5,0,14,1,1,0.287816,0.120438,0.210047,0.573387,0.379492,0.571109,0.402443,0.950601,0.283293,2.88038,0.311683,0.0983066,-0.591768,114.83,44.9831,167.643,-0.493462,-0.0209476,46.002448946237564,-9.795133713632822,5.84436,9.539999961853027,0.982887,-0.589054,1.50618,"19556"
"Julio Rodríguez","SEA",145,627,562,156,95,29,3,29,93,80,52,4,152,9,3,2,7,26,7,0.277632,0.0821314,0.242373,0.338864,0.345958,0.494488,0.361584,0.840447,0.216856,5.95827,0.331349,-0.190781,1.8982,97.5238,25.8233,143.016,1.70742,1.18913,32.06004357337952,3.4241327047348022,5.82265,4.130000114440918,3.50606,-1.20898,0.778355,"23697"
"José Ramírez","CLE",151,651,570,153,83,36,4,30,95,103,69,10,85,6,6,0,6,21,6,0.268428,0.10614,0.130736,0.811862,0.350688,0.505048,0.363227,0.855736,0.23662,5.77379,0.266604,0.874863,1.33515,102.107,27.6613,139.217,2.21001,1.60061,30.941615343093872,2.329064667224884,5.67052,3.380000114440918,3.30036,0.0860114,0.631063,"13510"
"Mookie Betts","LAD",146,643,563,153,85,35,3,31,108,84,65,1,102,8,5,2,6,13,4,0.271376,0.101855,0.159335,0.639247,0.353053,0.506227,0.369983,0.85928,0.234851,5.53116,0.281178,0.875026,0.577898,104.266,30.7619,142.097,1.45292,6.54404,32.39863705635071,-0.10217046737670898,5.60128,11.380000114440918,1.64068,0.209728,0.707838,"13611"
"Freddie Freeman","LAD",155,675,582,175,111,36,2,25,106,93,81,8,101,6,4,1,8,10,3,0.300696,0.120705,0.149858,0.805458,0.389666,0.500871,0.382732,0.890537,0.200175,4.38578,0.325543,0.175224,-0.0611136,116.259,39.1172,150.954,0.114111,2.14351,39.42423015832901,-9.80303955078125,5.42976,15.079999923706055,2.73309,0.258494,1.13418,"5361"
"Trea Turner","PHI",152,663,607,177,117,34,4,22,101,81,45,1,117,5,5,2,9,28,6,0.292229,0.0675865,0.175941,0.384142,0.343124,0.470791,0.352015,0.813915,0.178561,6.48274,0.328348,0.605766,2.63453,98.0412,22.256,126.565,3.2403,-2.67698,23.696099758148193,4.13204288482666,5.26316,2.3499999046325684,3.39578,0.348253,1.15021,"16252"
"Corey Seager","TEX",143,617,546,152,92,30,2,28,84,83,59,4,98,6,5,1,10,2,1,0.278073,0.0955796,0.158567,0.602772,0.352561,0.495044,0.364119,0.847605,0.216971,3.14612,0.291298,0.338507,-0.525655,97.2191,26.6562,139.956,-0.187148,-2.0358,27.559373050928116,2.5665526390075684,5.22678,63.33000183105469,2.49931,0.242664,0.947704,"13624"
"Ronald Acuña Jr.","ATL",142,626,536,145,86,29,1,29,102,77,73,4,148,11,4,2,6,32,10,0.270933,0.11703,0.236004,0.495881,0.367579,0.49348,0.371797,0.861059,0.222547,5.70435,0.31958,1.49028,1.882,102.372,30.8386,139.095,3.37228,0.583837,31.787555932998657,-5.3999239802360535,4.98056,2.190000057220459,4.62671,-0.659347,1.29269,"18401"
"Kyle Tucker","HOU",152,630,564,154,85,33,3,33,86,99,58,4,104,2,4,1,7,21,5,0.273026,0.0926595,0.165803,0.558852,0.341496,0.517765,0.366866,0.859261,0.244739,5.38022,0.28102,-0.17037,1.73731,100.591,28.5782,142.526,1.56694,2.31954,31.704856157302856,-4.808058977127075,4.93014,6.099999904632568,2.74407,-0.220286,0.515551,"18345"
"Carlos Correa","MIN",143,616,541,147,93,29,1,23,77,75,64,2,121,5,5,1,12,0,1,0.271662,0.103781,0.196728,0.527533,0.35074,0.46,0.35215,0.810739,0.188337,2.06448,0.307833,-0.104579,-0.793025,91.1566,20.744,132.959,-0.897604,0.920863,21.940715312957764,5.323302805423737,4.9219,125.4000015258789,2.8015,-2.02239,0.869121,"14162"
"Alex Bregman","HOU",148,629,533,140,84,32,1,23,87,86,81,2,79,9,6,0,11,2,1,0.26283,0.128036,0.125218,1.02251,0.364997,0.455284,0.35799,0.820281,0.192453,2.84465,0.268021,-0.457167,-0.652655,96.0533,24.1132,136.26,-1.10982,0.373336,24.561535358428955,2.27059605717659,4.92122,77.1500015258789,3.4744,-1.19207,0.919122,"17678"
"Manny Machado","SDP",152,652,580,158,97,30,1,31,92,99,64,7,121,3,6,0,9,10,3,0.272652,0.0975282,0.185145,0.526766,0.344029,0.485914,0.355043,0.829943,0.213262,4.05908,0.293707,-0.296334,0.0439181,98.0511,23.471,131.718,-0.252415,0.0383988,23.40505149960518,1.7948634922504425,4.88852,15.039999961853027,3.25986,0.596981,0.705464,"11493"
"Nolan Arenado","STL",151,638,574,153,91,32,2,28,79,96,52,3,81,5,5,0,11,4,1,0.266881,0.082089,0.127643,0.643113,0.330987,0.476275,0.346882,0.807261,0.209394,3.09685,0.265866,0.0769052,-0.416297,91.7427,18.8158,126.049,-0.339392,5.10238,18.658763736486435,6.845084190368652,4.87071,35.209999084472656,3.39136,-0.336753,0.965094,"9777"
"Vladimir Guerrero Jr.","TOR",152,657,583,169,100,33,1,35,96,102,64,5,104,6,3,0,15,6,2,0.289239,0.0975638,0.15754,0.619296,0.364054,0.528467,0.381864,0.89252,0.239227,3.53781,0.298549,-1.10178,-0.376281,112.827,37.6613,153.18,-1.47806,-0.679488,37.860063314437866,-13.204419434070587,4.78702,10.789999961853027,4.27384,0.359582,1.10812,"19611"
"Austin Riley","ATL",152,650,580,159,92,32,2,33,90,97,53,2,158,12,5,0,9,1,0,0.27423,0.0813363,0.242611,0.335254,0.344228,0.50781,0.365935,0.852039,0.233581,2.98233,0.319342,-1.02405,-0.524049,103.371,29.0238,135.087,-1.5481,-4.48611,24.957006692886353,-2.1355690956115723,4.69305,21.829999923706055,3.01441,-0.786699,1.25791,"18360"
"J.T. Realmuto","PHI",136,549,493,129,81,25,3,20,72,74,42,2,122,10,4,0,6,16,3,0.262664,0.0771869,0.221913,0.347825,0.330889,0.45006,0.338835,0.780949,0.187396,5.79295,0.308008,0.747763,1.252,75.4883,12.6914,117.553,1.99976,5.03184,13.199454665184021,12.938321590423584,4.68442,25.790000915527344,3.46577,0.0807931,0.425127,"11739"
"Will Smith","LAD",130,532,460,119,68,24,2,25,71,80,56,3,97,11,6,0,7,2,1,0.25948,0.104558,0.181993,0.574519,0.349175,0.483752,0.35895,0.832928,0.224273,3.42427,0.274567,-1.2802,-0.417222,81.6058,20.79,134.432,-1.69742,2.4897,19.244627356529236,7.923711776733398,4.6813,58.08000183105469,2.51654,0.0575596,0.745349,"19197"
"Jose Altuve","HOU",144,630,556,153,96,31,1,25,99,71,61,1,93,7,3,2,10,12,3,0.274888,0.0976519,0.147967,0.659956,0.352192,0.470432,0.357454,0.822623,0.195543,4.80543,0.289608,-0.2185,0.5265,95.8759,23.8676,135.882,0.308,-2.95168,25.735221296548843,-1.501530647277832,4.65039,38.130001068115234,1.77052,0.580439,0.638439,"5417"
"Xander Bogaerts","SDP",148,629,556,153,102,31,1,19,81,78,61,2,119,7,6,0,10,7,2,0.274931,0.0966637,0.188533,0.512715,0.350493,0.436135,0.343656,0.786628,0.161204,3.6505,0.315942,0.252958,0.0427357,88.9056,16.952,123.808,0.295694,-0.730891,17.427626997232437,5.639280736446381,4.58558,90.08000183105469,2.72743,0.486261,0.571285,"12161"
"Adley Rutschman","BAL",133,552,472,121,72,30,2,17,73,61,69,1,98,6,4,1,5,4,1,0.256513,0.125326,0.176898,0.708466,0.356236,0.437207,0.348112,0.793442,0.180693,3.62845,0.287302,0.754726,-0.363672,79.9671,16.8296,128.95,0.391054,2.72462,18.378936409950256,7.488434076309204,4.56248,69.12999725341797,1.88207,-2.63624,0.38038,"26288"
"Bo Bichette","TOR",150,652,603,172,108,36,2,25,93,88,41,0,136,4,3,1,11,16,5,0.284679,0.0623459,0.207861,0.299941,0.332261,0.476818,0.349462,0.809079,0.19214,4.84445,0.328375,-0.0475559,0.587869,95.1837,20.5844,130.306,0.540313,-7.05019,22.788892447948456,-0.1157522201538086,4.56231,13.630000114440918,1.27676,0.920549,0.424627,"19612"
"Marcus Semien","TEX",154,673,606,152,92,31,3,27,94,79,57,0,121,3,5,2,6,18,5,0.251604,0.0851924,0.179559,0.474455,0.317261,0.446422,0.331437,0.763683,0.194818,5.51112,0.271209,0.869234,0.895382,88.5412,11.5959,116.884,1.76462,3.58132,14.549443125724792,6.505062580108643,4.46097,33.75,2.2758,-0.497479,0.822823,"12533"
"Wander Franco","TBR",140,602,546,156,104,34,6,13,82,69,47,1,63,3,5,1,7,11,3,0.28631,0.078561,0.104884,0.749028,0.344273,0.438817,0.340367,0.78309,0.152507,5.56095,0.302497,0.367854,0.328509,83.4907,14.6463,121.523,0.696363,1.41761,15.514820158481598,7.169397234916687,4.4519,88.58000183105469,3.00828,-0.894628,1.01139,"23667"
"Paul Goldschmidt","STL",152,650,567,159,98,30,1,30,95,97,73,1,139,4,4,1,8,7,2,0.280895,0.113058,0.213684,0.529089,0.365355,0.498367,0.373284,0.863722,0.217472,3.84697,0.321052,-0.310481,0.0197638,107.153,32.8157,144.39,-0.290717,0.24591,32.71082416176796,-11.655265673995018,4.44607,26.020000457763672,3.55936,1.62821,0.860311,"9218"
"Francisco Lindor","NYM",151,655,582,147,95,26,3,23,87,86,58,2,119,8,5,2,9,14,5,0.253324,0.0888695,0.182097,0.488035,0.326503,0.428788,0.328907,0.755291,0.175464,5.12388,0.279078,-0.553491,0.378371,84.8634,9.97009,113.561,-0.17512,3.64874,9.982228428125381,10.649801969528198,4.41832,32.349998474121094,2.1702,0.684571,0.627337,"12916"
"Rafael Devers","BOS",149,642,576,161,93,36,2,31,89,96,54,6,127,6,4,1,11,4,2,0.279649,0.0847809,0.197274,0.429762,0.34643,0.508624,0.365098,0.855054,0.228975,3.40595,0.308505,0.892062,-0.703129,101.57,28.2115,135.054,0.188934,-3.13115,25.495917603373528,-4.277669072151184,4.37327,21.190000534057617,2.77049,-0.000234025,1.05371,"17350"
