Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Juan Soto","SDP",151,664,530,148,88,28,2,31,103,92,126,9,98,4,4,0,15,9,3,0.279146,0.190349,0.148092,1.28534,0.419265,0.511925,0.401183,0.93119,0.232779,3.89987,0.289903,,-0.398352,124.218,48.2562,165.387,-0.398352,-0.73,50.068425595760345,-8.900454998016357,6.66924,11.130000114440918,,,,"20123"
"Aaron Judge","NYY",149,645,541,154,83,28,2,41,103,106,93,10,165,6,4,0,10,9,3,0.28389,0.14382,0.256266,0.561212,0.392319,0.570626,0.406951,0.962945,0.286736,4.00589,0.331659,,-0.214509,123.571,49.8125,171.029,-0.214509,-2,51.34299352765083,-8.432664394378662,6.66256,3.4800000190734863,,,,"15640"
"Mike Trout","LAA",139,601,505,134,65,27,3,39,95,98,82,8,163,10,4,1,6,3,1,0.266078,0.136295,0.271273,0.502425,0.377434,0.564664,0.398269,0.942098,0.298586,4.00988,0.310528,,-0.320766,111.024,42.2795,162.281,-0.320766,-5.13,41.81372535228729,-3.5300049781799316,6.03012,21.100000381469727,,,,"10155"
"Ronald Acuña Jr.","ATL",142,626,537,149,84,31,2,32,103,86,74,5,147,11,3,1,9,31,9,0.276818,0.118369,0.234371,0.50505,0.373122,0.518504,0.38232,0.891626,0.241686,5.86259,0.323036,,1.86327,107.602,36.0684,146.29,1.86327,4.88,35.50827896595001,-1.1037611961364746,5.8223,2.190000057220459,,,,"18401"
"Will Smith","LAD",130,532,461,124,71,25,2,26,75,79,54,3,100,10,5,0,8,2,1,0.269226,0.102043,0.187155,0.545234,0.355417,0.498837,0.367068,0.854253,0.229611,3.15022,0.288537,,-0.457437,85.0359,24.2201,139.981,-0.457437,7.73,24.247810900211334,13.164016723632812,5.80695,58.08000183105469,,,,"19197"
"José Ramírez","CLE",151,651,571,153,85,34,4,30,94,94,68,10,82,6,6,0,8,23,6,0.267726,0.103848,0.126345,0.821936,0.348161,0.496469,0.358953,0.84463,0.228743,5.84013,0.265189,,1.4748,99.8962,25.4507,136.2,1.4748,5.15,27.99579894542694,5.87845504283905,5.73389,3.380000114440918,,,,"13510"
"Fernando Tatis Jr.","SDP",116,497,435,123,63,24,2,34,87,86,54,4,130,5,3,0,7,20,5,0.283545,0.107749,0.261626,0.411845,0.366934,0.584928,0.402339,0.951862,0.301383,5.90758,0.3256,,1.29478,93.4263,36.5736,166.177,1.29478,3.34,39.5228168964386,-2.638500452041626,5.62913,17.75,,,,"19709"
"Vladimir Guerrero Jr.","TOR",152,657,580,172,100,34,1,36,99,105,66,6,103,7,4,1,16,6,2,0.29618,0.100574,0.157135,0.640045,0.372453,0.546873,0.391527,0.919325,0.250692,3.22629,0.304655,,-0.448562,117.873,42.7076,160.002,-0.448562,0.45,43.93581447005272,-12.074971973896027,5.54354,10.789999961853027,,,,"19611"
"Freddie Freeman","LAD",155,675,584,175,108,38,2,27,99,95,79,9,103,6,5,0,13,9,3,0.299187,0.117114,0.15329,0.764002,0.385835,0.50767,0.382706,0.893504,0.208483,4.09788,0.322997,,-0.205909,116.245,39.1034,150.674,-0.205909,1.88,39.512860015034676,-10.066527485847473,5.47497,15.079999923706055,,,,"5361"
"Yordan Alvarez","HOU",144,611,524,150,80,32,2,35,93,101,75,8,129,6,5,0,11,1,0,0.286357,0.123566,0.210836,0.586076,0.379212,0.55805,0.396652,0.937262,0.271693,2.70543,0.314176,,-0.588511,112.02,42.1728,163.555,-0.588511,-0.74,43.097138941287994,-10.514156579971313,5.46382,9.539999961853027,,,,"19556"
"Corey Seager","TEX",143,617,544,151,91,31,1,28,80,88,61,5,103,6,5,0,12,2,1,0.278071,0.0986528,0.166495,0.592526,0.354355,0.494353,0.364302,0.848708,0.216282,2.53461,0.294964,,-0.557701,97.309,26.746,140.086,-0.557701,-0.35,27.278607964515686,4.252355486154556,5.37431,63.33000183105469,,,,"13624"
"Julio Rodríguez","SEA",145,627,562,155,95,29,4,27,89,79,52,5,151,9,3,1,10,20,5,0.276422,0.0822238,0.241606,0.340322,0.345069,0.486489,0.357175,0.831558,0.210067,6.13622,0.332052,,1.51171,95.3271,23.6266,139.903,1.51171,-1.34,29.667664289474487,0.8949998617172241,5.3059,4.130000114440918,,,,"23697"
"Mookie Betts","LAD",146,643,562,154,89,33,2,30,97,91,67,1,105,8,5,1,9,12,4,0.274936,0.104979,0.163788,0.640943,0.358511,0.501553,0.370819,0.860064,0.226617,4.63697,0.289059,,-0.0285379,104.693,31.1886,142.545,-0.0285379,3.51,31.746438870206475,-3.136225461959839,5.27481,11.380000114440918,,,,"13611"
