splits,gamesPlayed,runs,hits,atBats,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,leftOnBase,catchersInterference,pickoffs,atBatsPerHomeRun,full_name,position,position_type,team,game_location,opp,order,DKPts,note,team_hits,team_singles,team_rbi,team_runs,team_doubles,team_triples,team_homeRuns,team_strikeOuts,team_baseOnBalls,team_hitByPitch,team_stolenBases,season,game_date,team_DKPts,singles,bats,doubles,triples,homeRuns,rbi,baseOnBalls,hitByPitch,strikeOuts,intentionalWalks,flyOuts,groundOuts,sacFlies,sacBunts,launchSpeed,launchAngle,distance,DKPts_splits,wOBA,AVG,OBP,SLG,OPS,ISO,SB_perAtBat,DKPts_share,hits_share,runs_share,singles_share,doubles_share,triples_share,homeRuns_share,rbi_share,stolenBases_share,baseOnBalls_share,exWOBA,RotoName,opp_pitcher_id,Roster Position,Salary,opp_pitcher_hand
vs_LHP,1,1,3,5,0,0,.---,0,0,5,3,6,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,NYY,9,13,,13,11,8,8,1,1,0,8,8,0,0,2013,2013-04-01,94,3.0,R,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.0,0.5328,0.6,0.6,0.6,1.2,0.0,0.0,0.1382978723404255,0.2307692307692307,0.125,0.2727272727272727,0.0,0.0,,0.125,,0.0,,joseigles,282332,,,
vs_RHP,1,1,2,4,0,0,.---,0,0,4,3,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,NYY,9,10,,14,11,7,7,3,0,0,7,3,2,1,2013,2013-04-03,91,1.0,R,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,0.53975,0.5,0.5,0.75,1.25,0.25,0.0,0.1098901098901098,0.1428571428571428,0.1428571428571428,0.0909090909090909,0.3333333333333333,,,0.0,0.0,0.0,,joseigles,493133,,,
vs_LHP,1,0,2,3,0,0,.---,1,0,3,2,1,0,0,-.--,jose iglesias,,Infielder,BOS,away,NYY,9,6,,9,7,2,2,2,0,0,4,2,0,0,2013,2013-04-04,43,2.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.0,0.592,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.0,0.1395348837209302,0.2222222222222222,0.0,0.2857142857142857,0.0,,,0.0,,0.0,,joseigles,120485,SS,3100.0,L
vs_RHP,1,0,0,0,0,0,.---,0,0,1,0,0,0,0,-.--,jose iglesias,,Infielder,BOS,away,TOR,-1,2,0,12,7,6,6,3,0,2,12,6,1,3,2013,2013-04-05,109,0.0,R,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.722,,1.0,,,,,0.018348623853211,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,joseigles,435178,SS,3100.0,R
vs_LHP,1,1,2,5,0,0,.---,0,0,5,3,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,TOR,9,10,0,15,5,13,13,4,0,6,9,4,0,2,2013,2013-04-07,165,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,0.4,0.4,0.0,0.4,-0.4,0.0,0.0606060606060606,0.1333333333333333,0.0769230769230769,0.0,0.0,,0.0,0.0,0.0,0.0,,joseigles,285079,SS,3000.0,R
vs_LHP,1,0,0,3,0,0,.---,0,0,3,0,0,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,BAL,9,0,0,5,3,3,3,1,0,1,4,2,0,0,2013,2013-04-08,40,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,joseigles,612672,SS,3000.0,L
vs_LHP,1,0,0,1,0,0,.---,0,0,2,0,0,0,0,-.--,jose iglesias,3B/SS,Infielder,DET,home,KC,-1,2,0,2,1,1,1,0,0,1,6,4,1,0,2013,2013-08-16,27,0.0,R,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.361,0.0,0.5,0.0,0.5,0.0,0.0,0.074074074074074,0.0,0.0,0.0,,,0.0,0.0,,0.0,,joseigles,518633,3B/SS,2900.0,L
vs_LHP,1,1,1,3,0,0,.---,0,0,3,1,0,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,CLE,9,5,0,9,7,8,8,1,0,1,7,2,2,1,2013,2013-05-24,81,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,0.296,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0617283950617283,0.1111111111111111,0.125,0.1428571428571428,0.0,,0.0,0.0,0.0,0.0,,joseigles,475416,SS,3100.0,R
vs_LHP,1,2,3,4,0,0,.---,0,0,4,4,0,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,CLE,8,15,0,11,6,6,7,5,0,0,11,8,0,0,2013,2013-05-25,85,1.0,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12.0,0.53975,0.75,0.75,0.75,1.5,0.0,0.0,0.1764705882352941,0.2727272727272727,0.2857142857142857,0.1666666666666666,0.2,,,0.0,,0.0,,joseigles,431148,SS,3100.0,L
vs_RHP,1,0,0,1,0,0,.---,0,0,4,0,0,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,CLE,9,6,0,7,3,6,6,3,1,0,10,5,1,3,2013,2013-05-26,83,0.0,R,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,6.0,0.353,0.0,0.5,0.0,0.5,0.0,0.0,0.072289156626506,0.0,0.0,0.0,0.0,0.0,,0.1666666666666666,0.0,0.2,,joseigles,446372,SS,3100.0,R
