Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Juan Soto","SDP",150,675,524,146,85,27,2,33,112,94,137,10,93,5,5,4,,10,4,0.279026,0.2035,0.138131,1.47324,0.429572,0.523511,0.409065,0.953084,0.244486,4.08609,0.282006,-0.513,-0.43162,130.395,53.24,170.776,-0.94462,-1.162,54.54062861204147,-9.924999475479126,7.06812,11.130000114440918,,,,"20123"
"Aaron Judge","NYY",150,677,567,156,87,25,1,44,111,106,95,14,169,6,5,4,,12,5,0.275688,0.1399,0.249101,0.561618,0.382214,0.555393,0.395617,0.937607,0.279706,3.90812,0.312264,0.278,-0.0592305,123.617,46.1918,163.027,0.218769,3.405,48.24237482249737,-3.569000005722046,6.9549,3.4800000190734863,,,,"15640"
"Mookie Betts","LAD",150,693,603,162,93,36,3,31,107,84,71,1,110,9,4,7,,18,5,0.268541,0.1017,0.159143,0.639049,0.351534,0.490065,0.363974,0.841599,0.221525,5.2903,0.281234,1.262,1.02162,109.141,29.8669,137.865,2.28362,7.317,32.78292393684387,-0.07800006866455078,5.88299,11.380000114440918,,,,"13611"
"Julio Rodríguez","SEA",149,679,607,165,101,31,3,31,98,83,54,4,162,9,4,6,,30,10,0.272752,0.0789,0.238833,0.330356,0.338381,0.485547,0.354133,0.823928,0.212795,5.90037,0.322138,0.598,1.39993,101.595,23.9461,137.756,1.99793,-1.011,30.849175572395325,1.472999930381775,5.66462,4.130000114440918,,,,"23697"
"Mike Trout","LAA",150,677,572,147,77,28,2,39,105,99,88,10,179,8,5,4,,3,1,0.25738,0.1296,0.263875,0.491143,0.361307,0.521534,0.375132,0.882841,0.264154,3.79905,0.300282,0.311,-0.441113,112.574,35.1652,145.947,-0.130113,-4.759,34.87173739075661,-2.8969998359680176,5.62111,21.100000381469727,,,,"10155"
"Fernando Tatis Jr.","SDP",123,545,475,134,71,26,2,35,90,92,58,3,124,5,4,3,,24,8,0.280991,0.1059,0.227543,0.465407,0.362825,0.565876,0.394272,0.928702,0.284885,5.61455,0.30696,1.423,1.11966,98.9714,36.6177,160.661,2.54266,0.327,40.97487449645996,-6.530999809503555,5.54284,17.75,,,,"19709"
"Ronald Acuña Jr.","ATL",147,682,580,156,93,32,1,30,110,80,80,5,155,12,4,6,,43,12,0.269146,0.1171,0.22724,0.515314,0.366397,0.483188,0.367477,0.849585,0.214042,6.00067,0.315659,2.237,3.02903,109.275,31.2824,136.141,5.26603,1.79,33.906222343444824,-4.933000087738037,5.4516,2.190000057220459,,,,"18401"
"Wander Franco","TBR",144,649,583,166,108,36,6,15,85,73,53,1,70,5,5,4,,12,5,0.284094,0.0823,0.10789,0.762815,0.346348,0.444841,0.343862,0.791189,0.160747,5.27069,0.299647,1.006,-0.312921,91.8297,17.5953,130.763,0.693079,0.806,23.166614890098572,7.205000162124634,5.35995,88.58000183105469,,,,"23667"
"Yordan Alvarez","HOU",139,602,519,146,79,31,2,35,90,103,70,7,124,7,4,1,,2,1,0.281379,0.117,0.206148,0.567553,0.372254,0.549124,0.391024,0.921378,0.267745,2.96381,0.305329,0.199,-0.591319,107.747,38.8855,159.581,-0.392319,2.059,39.98469913005829,-8.147000312805176,5.35676,9.539999961853027,,,,"19556"
"Vladimir Guerrero Jr.","TOR",147,653,574,168,96,31,1,40,100,112,66,5,100,7,5,1,,7,3,0.292619,0.1012,0.152531,0.66347,0.369219,0.5595,0.394708,0.928719,0.26688,3.39919,0.290876,-1.248,-0.451802,118.825,44.1059,162.249,-1.6998,-0.804,44.0729033946991,-13.89900028705597,5.35337,10.789999961853027,,,,"19611"
